id,name,party,sector,country,type
uvl,Ursula von der Leyen,CDU,Politik,Deutschland,1
lk,Lars Klingbeil,SPD,Politik,Deutschland,1
nr,Norbert Röttgen,CDU,Politik,Deutschland,1
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland,1
cs, Constanze Stelzenmüller,,Jura,Deutschland,1
Folge 500,Folge 500,,,,2
CDU,CDU,,,,2
cl,Christian Lindner,FDP,Politik,Deutschland,1
ks,Karl Schlögel,,Geschichte,Deutschland,1
lm,"Ljudmyla Melnyk,",,Wissenschaft,Ukraine,1
kd,Kristina Dunz,,Journalismus,Deutschland,1
el,Egils Levits,,Politik,Lettland,1
Folge 501,Folge 501,,,,2
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland,1
ft,Frans Timmermans,,Politik,Niederlande,1
am,Andrij Melnyk,,Politik,Deutschland,1
ag,Alexander Graf Lambsdorff,FDP,Politik,Deutschland,1
eg,Egon Ramms,,Militär,Deutschland,1
Folge 502,Folge 502,,,,2
rh,Robert Habeck,Die Grünen,Politik,Deutschland,1
cm,Claudia Major,,Wissenschaft,Deutschland,1
kp,Katja Pertrowskaja,,Journalismus,Ukraine,1
rk,Roderich Kiesewetter,CDU,Politik,Deutschland,1
Folge 503,Folge 503,,,,2
SPD,SPD,,,,2
Die Grünen,Die Grünen,,,,2
Die Linke,Die Linke,,,,2
FDP,FDP,,,,2
